planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
MULTI_BOUND_G,MIXED_G,50,0,1445.0876337947414,1516.9502717773198,5688.0,11.623299774
HEURISTIC,LAZY,50,1,1410.5781074655476,1479.5582227230393,200.0,0.315482005
HEURISTIC,DILIGENT,50,1,1461.5358801726363,1458.1995180718823,200.0,9.465399278
HEURISTIC,ANTICIPATORY,50,1,1372.07942083228,1439.4398501951428,200.0,0.716182507
HEURISTIC,ANTICIPATORY_ONCE,50,1,1410.5781074655476,1479.5582227230393,200.0,0.311280523
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,1,5313.850315413603,1949.6200845469205,200.0,0.311476728
MULTI_BOUND_G,MIXED_G,50,1,1397.0977106580417,1464.4611625360947,5944.0,12.698183357
HEURISTIC,LAZY,50,2,1365.2979746862477,1438.3627718271646,200.0,0.315722764
HEURISTIC,DILIGENT,50,2,1490.9591035645763,1495.0692345312,200.0,9.735969287
HEURISTIC,ANTICIPATORY,50,2,1380.8220389322928,1459.3789214285753,200.0,0.713870982
HEURISTIC,ANTICIPATORY_ONCE,50,2,1365.2979746862477,1438.3627718271646,200.0,0.308408742
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,2,7075.1047487092765,1991.1072139798046,200.0,0.309924723
MULTI_BOUND_G,MIXED_G,50,2,1365.4402041265882,1436.5538786577006,5562.0,10.622253052
HEURISTIC,LAZY,50,3,1356.4798961233432,1425.0989409794374,200.0,0.314300937
HEURISTIC,DILIGENT,50,3,1414.1356533527048,1413.6976762839456,200.0,9.623733326
HEURISTIC,ANTICIPATORY,50,3,1346.7380687717819,1414.9946350319544,200.0,0.721130245
HEURISTIC,ANTICIPATORY_ONCE,50,3,1356.4798961233432,1425.0989409794374,200.0,0.353885747
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,3,5389.816475417911,1861.689263414841,200.0,0.31154611
MULTI_BOUND_G,MIXED_G,50,3,1352.4253058320412,1423.38363945376,6236.0,14.581810284
HEURISTIC,LAZY,50,4,1466.113098899585,1534.021744287724,200.0,0.317612099
HEURISTIC,DILIGENT,50,4,1538.998147254354,1539.2236859754175,200.0,10.363670501
HEURISTIC,ANTICIPATORY,50,4,1468.5468237520556,1534.021744287724,200.0,0.71845947
HEURISTIC,ANTICIPATORY_ONCE,50,4,1466.113098899585,1534.021744287724,200.0,0.312650086
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,4,4092.919917861053,1899.0923152879682,200.0,0.312682448
MULTI_BOUND_G,MIXED_G,50,4,1456.4178678799165,1522.7112075871303,6124.0,14.060247676
HEURISTIC,LAZY,50,5,1566.256299258907,1640.7917862923582,200.0,0.403692896
HEURISTIC,DILIGENT,50,5,1708.8216045907748,1710.0196410512247,200.0,10.145841607
